id,model_name,layer,column_name,expression,origin_table,origin_column,transformation_type,transformation_chain,transformation_chain_plain,description
CL0063,knowledge_vendor_performance,knowledge,vendor_region,v.vendor_region,dim_vendor,vendor_region,direct,,,
CL0064,knowledge_vendor_performance,knowledge,payment_terms,v.payment_terms,dim_vendor,payment_terms,direct,,,
CL0065,knowledge_vendor_performance,knowledge,total_pos,COUNT(DISTINCT f.purchase_order_number),fact_purchase_orders,purchase_order_number,aggregation,,,
CL0066,knowledge_vendor_performance,knowledge,total_spend_eur,SUM(f.net_value),fact_purchase_orders,net_value,aggregation,,,
CL0067,knowledge_vendor_performance,knowledge,avg_lead_time_days,"ROUND(AVG(f.lead_time_days), 1)",fact_purchase_orders,lead_time_days,aggregation,,,
CL0068,knowledge_vendor_performance,knowledge,otd_rate_pct,"ROUND(AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) * 100, 1)",fact_purchase_orders,is_on_time,case_when,,,
CL0069,knowledge_vendor_performance,knowledge,total_ordered_qty,SUM(f.ordered_quantity),fact_purchase_orders,ordered_quantity,aggregation,,,
CL0070,knowledge_vendor_performance,knowledge,total_received_qty,SUM(f.received_quantity),fact_purchase_orders,received_quantity,aggregation,,,
CL0071,knowledge_vendor_performance,knowledge,fulfillment_rate_pct,"ROUND(SUM(f.received_quantity) / NULLIF(SUM(f.ordered_quantity), 0) * 100, 1)",fact_purchase_orders,received_quantity,coalesce,,,
CL0072,knowledge_vendor_performance,knowledge,performance_grade,"CASE
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.80 THEN 'A'
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.60 THEN 'B'
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.40 THEN 'C'
        ELSE 'D'
    END",fact_purchase_orders,is_on_time,case_when,,,
CL0073,knowledge_vendor_performance,knowledge,health_status,"CASE
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.80 THEN 'GREEN'
        WHEN AVG(CASE WHEN f.is_on_time THEN 1.0 ELSE 0.0 END) >= 0.60 THEN 'YELLOW'
        ELSE 'RED'
    END",fact_purchase_orders,is_on_time,case_when,,,
CL0074,dim_customer,marts,hk_customer,h.hk_customer,hub_customer,hk_customer,direct,,,
CL0075,dim_customer,marts,customer_id,h.customer_id,hub_customer,customer_id,direct,,,
CL0076,dim_customer,marts,customer_name,c.customer_name,sat_customer,customer_name,direct,,,
CL0077,dim_customer,marts,country,c.country,sat_customer,country,direct,,,
CL0078,dim_customer,marts,city,c.city,sat_customer,city,direct,,,
CL0079,dim_customer,marts,postal_code,c.postal_code,sat_customer,postal_code,direct,,,
CL0080,dim_customer,marts,account_group,c.account_group,sat_customer,account_group,direct,,,
CL0081,dim_customer,marts,customer_segment,CASE WHEN c.account_group = '0002' THEN 'Business' ELSE 'Residential' END,sat_customer,account_group,case_when,,,
CL0082,dim_customer,marts,customer_created_date,c.created_date,sat_customer,created_date,direct,,,
CL0083,dim_customer,marts,first_seen_date,h.load_date,hub_customer,load_date,direct,,,
CL0084,dim_customer,marts,record_source,h.record_source,hub_customer,record_source,direct,,,
CL0085,dim_date,marts,date_key,date_day,,date_day,direct,,,
CL0086,dim_date,marts,date_day,date_day,,date_day,direct,,,
CL0087,dim_date,marts,year,EXTRACT(YEAR FROM date_day),,date_day,date_calc,,,
CL0088,dim_date,marts,quarter,EXTRACT(QUARTER FROM date_day),,date_day,date_calc,,,
CL0089,dim_date,marts,month,EXTRACT(MONTH FROM date_day),,date_day,date_calc,,,
CL0090,dim_date,marts,day_of_month,EXTRACT(DAY FROM date_day),,date_day,date_calc,,,
CL0091,dim_date,marts,day_of_week,EXTRACT(DOW FROM date_day),,DOW,date_calc,,,
CL0092,dim_date,marts,week_of_year,EXTRACT(WEEK FROM date_day),,date_day,date_calc,,,
CL0093,dim_date,marts,day_name,"CASE EXTRACT(DOW FROM date_day)
        WHEN 0 THEN 'Sunday' WHEN 1 THEN 'Monday' WHEN 2 THEN 'Tuesday'
        WHEN 3 THEN 'Wednesday' WHEN 4 THEN 'Thursday' WHEN 5 THEN 'Friday'
        WHEN 6 THEN 'Saturday'
    END",,DOW,case_when,,,
CL0094,dim_date,marts,month_name,"CASE EXTRACT(MONTH FROM date_day)
        WHEN 1 THEN 'January' WHEN 2 THEN 'February' WHEN 3 THEN 'March'
        WHEN 4 THEN 'April' WHEN 5 THEN 'May' WHEN 6 THEN 'June'
        WHEN 7 THEN 'July' WHEN 8 THEN 'August' WHEN 9 THEN 'September'
        WHEN 10 THEN 'October' WHEN 11 THEN 'November' WHEN 12 THEN 'December'
    END",,date_day,case_when,,,
CL0095,dim_date,marts,year_quarter,CAST(EXTRACT(YEAR FROM date_day) AS VARCHAR) || '-Q' || CAST(EXTRACT(QUARTER FROM date_day) AS VARCHAR),,date_day,type_cast,,,
CL0096,dim_date,marts,year_month,"CAST(EXTRACT(YEAR FROM date_day) AS VARCHAR) || '-' || LPAD(CAST(EXTRACT(MONTH FROM date_day) AS VARCHAR), 2, '0')",,date_day,type_cast,,,
CL0097,dim_date,marts,is_weekday,"CASE WHEN EXTRACT(DOW FROM date_day) IN (0, 6) THEN FALSE ELSE TRUE END",,DOW,case_when,,,
CL0098,dim_date,marts,is_today,date_day = CURRENT_DATE,,date_day,system_generated,,,
CL0099,dim_equipment,marts,hk_equipment,h.hk_equipment,hub_equipment,hk_equipment,direct,,,
CL0100,dim_equipment,marts,equipment_number,h.equipment_number,hub_equipment,equipment_number,direct,,,
CL0101,dim_equipment,marts,serial_number,g.serial_number,sat_equipment_general,serial_number,direct,,,
CL0102,dim_equipment,marts,manufacturer,g.manufacturer,sat_equipment_general,manufacturer,direct,,,
CL0103,dim_equipment,marts,model_description,g.model_description,sat_equipment_general,model_description,direct,,,
CL0104,dim_equipment,marts,equipment_category,g.equipment_category,sat_equipment_general,equipment_category,direct,,,
CL0105,dim_equipment,marts,current_plant,g.plant,sat_equipment_general,plant,direct,,,
CL0106,dim_equipment,marts,startup_date,g.startup_date,sat_equipment_general,startup_date,direct,,,
CL0107,dim_equipment,marts,received_date,g.created_date,sat_equipment_general,created_date,direct,,,
CL0108,dim_equipment,marts,current_status_code,ls.status_code,sat_equipment_status,status_code,direct,,,
CL0109,dim_equipment,marts,current_status,ls.status_description,sat_equipment_status,status_description,direct,,,
CL0110,dim_equipment,marts,status_since,ls.status_from_date,sat_equipment_status,status_from_date,direct,,,
CL0111,dim_equipment,marts,lifecycle_status,"CASE
        WHEN ls.status_code = 'INST' THEN 'deployed'
        WHEN ls.status_code = 'AVLB' THEN 'in_stock'
        WHEN ls.status_code = 'RET' THEN 'returned'
        WHEN ls.status_code = 'DLFL' THEN 'defective'
        ELSE 'unknown'
    END",sat_equipment_status,status_code,case_when,,,
CL0112,dim_equipment,marts,material_number,lm.material_number,link_equipment_material,material_number,direct,,,
CL0113,dim_equipment,marts,days_since_receipt,"CASE WHEN g.created_date IS NOT NULL
        THEN CAST(CURRENT_DATE - g.created_date AS INTEGER)
        ELSE NULL
    END",sat_equipment_general,created_date,case_when,,,
CL0114,dim_equipment,marts,days_since_deployment,"CASE WHEN g.startup_date IS NOT NULL
        THEN CAST(CURRENT_DATE - g.startup_date AS INTEGER)
        ELSE NULL
    END",sat_equipment_general,startup_date,case_when,,,
CL0115,dim_equipment,marts,first_seen_date,h.load_date,hub_equipment,load_date,direct,,,
CL0116,dim_equipment,marts,record_source,h.record_source,hub_equipment,record_source,direct,,,
CL0117,dim_material,marts,hk_material,h.hk_material,hub_material,hk_material,direct,,,
CL0118,dim_material,marts,material_number,h.material_number,hub_material,material_number,direct,,,
CL0119,dim_material,marts,material_description,d.material_description,sat_material_description,material_description,direct,,,
CL0120,dim_material,marts,material_type,g.material_type,sat_material_general,material_type,direct,,,
CL0121,dim_material,marts,material_group,g.material_group,sat_material_general,material_group,direct,,,
CL0122,dim_material,marts,base_unit_of_measure,g.base_unit_of_measure,sat_material_general,base_unit_of_measure,direct,,,
CL0123,dim_material,marts,gross_weight_kg,g.gross_weight_kg,sat_material_general,gross_weight_kg,direct,,,
CL0124,dim_material,marts,weight_unit,g.weight_unit,sat_material_general,weight_unit,direct,,,
CL0125,dim_material,marts,cross_plant_status,g.cross_plant_status,sat_material_general,cross_plant_status,direct,,,
CL0126,dim_material,marts,division,g.division,sat_material_general,division,direct,,,
CL0127,dim_material,marts,product_hierarchy,g.product_hierarchy,sat_material_general,product_hierarchy,direct,,,
CL0128,dim_material,marts,material_created_date,g.created_date,sat_material_general,created_date,direct,,,
CL0129,dim_material,marts,equipment_category,"CASE
        WHEN g.material_group = 'CPE-RTR' THEN 'Router'
        WHEN g.material_group = 'CPE-ONT' THEN 'ONT'
        WHEN g.material_group = 'CPE-STB' THEN 'Set-Top Box'
        WHEN g.material_group = 'CPE-SWT' THEN 'Switch'
        WHEN g.material_group = 'CPE-MDM' THEN 'Modem'
        ELSE 'Other'
    END",sat_material_general,material_group,case_when,,,
CL0130,dim_material,marts,first_seen_date,h.load_date,hub_material,load_date,direct,,,
CL0131,dim_material,marts,record_source,h.record_source,hub_material,record_source,direct,,,
CL0132,dim_movement_type,marts,movement_type,h.movement_type,hub_movement_type,movement_type,direct,,,
CL0133,dim_movement_type,marts,description_en,en.description_en,sat_movement_type_text,description_en,direct,,,
CL0134,dim_movement_type,marts,description_hr,hr.description_hr,sat_movement_type_text,description_hr,direct,,,
CL0135,dim_movement_type,marts,direction,"CASE
        WHEN c.movement_category = 'X' THEN 'transfer'
        WHEN c.debit_credit_indicator = 'S' THEN 'inbound'
        WHEN c.debit_credit_indicator = 'H' THEN 'outbound'
        ELSE 'unknown'
    END",sat_movement_type,movement_category,case_when,,,
CL0136,dim_movement_type,marts,process_step,"CASE h.movement_type
        WHEN '101' THEN 'goods_receipt'
        WHEN '102' THEN 'gr_reversal'
        WHEN '122' THEN 'vendor_return'
        WHEN '161' THEN 'customer_return'
        WHEN '201' THEN 'installation'
        WHEN '202' THEN 'gi_reversal'
        WHEN '301' THEN 'stock_transfer'
        WHEN '561' THEN 'initial_load'
        ELSE 'other'
    END",hub_movement_type,movement_type,case_when,,,
CL0137,dim_movement_type,marts,stock_impact_sign,"CASE
        WHEN c.movement_category = 'X' THEN 0
        WHEN c.debit_credit_indicator = 'S' THEN 1
        WHEN c.debit_credit_indicator = 'H' THEN -1
        ELSE 0
    END",sat_movement_type,movement_category,case_when,,,
CL0138,dim_movement_type,marts,stock_impact_description,"CASE
        WHEN c.movement_category = 'X' THEN 'neutral'
        WHEN c.debit_credit_indicator = 'S' THEN 'increase'
        WHEN c.debit_credit_indicator = 'H' THEN 'decrease'
        ELSE 'neutral'
    END",sat_movement_type,movement_category,case_when,,,
CL0139,dim_plant,marts,hk_plant,h.hk_plant,hub_plant,hk_plant,direct,,,
CL0140,dim_plant,marts,plant_code,h.plant_code,hub_plant,plant_code,direct,,,
CL0141,dim_plant,marts,plant_name,w.NAME1,JINJA_EXPR,NAME1,direct,,,
CL0142,dim_plant,marts,plant_city,w.ORT01,JINJA_EXPR,ORT01,direct,,,
CL0143,dim_plant,marts,plant_country,w.LAND1,JINJA_EXPR,LAND1,direct,,,
CL0144,dim_plant,marts,company_name,t.BUTXT,JINJA_EXPR,BUTXT,direct,,,
CL0145,dim_plant,marts,company_code,w.BUKRS,JINJA_EXPR,BUKRS,direct,,,
CL0146,dim_plant,marts,first_seen_date,h.load_date,hub_plant,load_date,direct,,,
CL0147,dim_plant,marts,record_source,h.record_source,hub_plant,record_source,direct,,,
CL0148,dim_service_plan,marts,hk_service_plan,h.hk_service_plan,hub_service_plan,hk_service_plan,direct,,,
CL0149,dim_service_plan,marts,service_plan_id,h.service_plan_id,hub_service_plan,service_plan_id,direct,,,
CL0150,dim_service_plan,marts,service_plan_name,s.service_plan_name,sat_service_plan,service_plan_name,direct,,,
CL0151,dim_service_plan,marts,service_plan_group,s.service_plan_group,sat_service_plan,service_plan_group,direct,,,
CL0152,dim_service_plan,marts,plan_category,"CASE
        WHEN s.service_plan_group = 'SVC-FIB' THEN 'Fiber Broadband'
        WHEN s.service_plan_group = 'SVC-TV'  THEN 'IPTV Bundle'
        WHEN s.service_plan_group = 'SVC-CBL' THEN 'Cable Broadband'
        WHEN s.service_plan_group = 'SVC-BIZ' THEN 'Business Connectivity'
        ELSE 'Other'
    END",sat_service_plan,service_plan_group,case_when,,,
CL0153,dim_service_plan,marts,first_seen_date,h.load_date,hub_service_plan,load_date,direct,,,
CL0154,dim_service_plan,marts,record_source,h.record_source,hub_service_plan,record_source,direct,,,
CL0155,dim_storage_location,marts,plant_code,l.WERKS,JINJA_EXPR,WERKS,direct,,,
CL0156,dim_storage_location,marts,storage_location_code,l.LGORT,JINJA_EXPR,LGORT,direct,,,
CL0157,dim_storage_location,marts,storage_location_name,l.LGOBE,JINJA_EXPR,LGOBE,direct,,,
CL0158,dim_storage_location,marts,plant_name,w.NAME1,JINJA_EXPR,NAME1,direct,,,
CL0159,dim_storage_location,marts,plant_city,w.ORT01,JINJA_EXPR,ORT01,direct,,,
CL0160,dim_storage_location,marts,location_type,"CASE
        WHEN l.LGOBE LIKE '%Main%' OR l.LGOBE LIKE '%Central%' THEN 'primary'
        WHEN l.LGOBE LIKE '%Defective%' OR l.LGOBE LIKE '%Return%' THEN 'returns'
        WHEN l.LGOBE LIKE '%Ready%' OR l.LGOBE LIKE '%Deploy%' THEN 'staging'
        WHEN l.LGOBE LIKE '%Regional%' THEN 'regional'
        ELSE 'other'
    END",JINJA_EXPR,LGOBE,case_when,,,
CL0161,dim_vendor,marts,hk_vendor,h.hk_vendor,hub_vendor,hk_vendor,direct,,,
CL0162,dim_vendor,marts,vendor_id,h.vendor_id,hub_vendor,vendor_id,direct,,,
CL0163,dim_vendor,marts,vendor_name,g.vendor_name,sat_vendor_general,vendor_name,direct,,,
CL0164,dim_vendor,marts,country_code,g.country_code,sat_vendor_general,country_code,direct,,,
CL0165,dim_vendor,marts,city,g.city,sat_vendor_general,city,direct,,,
CL0166,dim_vendor,marts,street_address,g.street_address,sat_vendor_general,street_address,direct,,,
CL0167,dim_vendor,marts,phone_number,g.phone_number,sat_vendor_general,phone_number,direct,,,
CL0168,dim_vendor,marts,vendor_created_date,g.created_date,sat_vendor_general,created_date,direct,,,
CL0169,dim_vendor,marts,payment_terms,c.payment_terms,sat_vendor_commercial,payment_terms,direct,,,
CL0170,dim_vendor,marts,reconciliation_account,c.reconciliation_account,sat_vendor_commercial,reconciliation_account,direct,,,
CL0171,dim_vendor,marts,payment_method,c.payment_method,sat_vendor_commercial,payment_method,direct,,,
